month,plant,datetime,prev,curr,drop,drop_pct,year,month_str,ptf_tl_mwh,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2025-01,SAROS RES,2025-01-26 04:00:00+00:00,62.53,0.0,62.53,100.0,2025,2025-01,3100,estimated,62.53,193843.0,29076.45,222919.45,36.0,6192.206944444445,4564.6900000000005
2025-01,SAROS RES,2025-01-28 06:00:00+00:00,65.5,0.0,65.5,100.0,2025,2025-01,3100,estimated,65.5,203050.0,30457.5,233507.5,36.0,6486.319444444444,4781.5
2025-01,SAROS RES,2025-01-28 11:00:00+00:00,77.13,0.0,77.13,100.0,2025,2025-01,3100,estimated,77.13,239103.0,35865.45,274968.45,36.0,7638.012500000001,5630.49
2025-02,KIYIKÖY RES,2025-02-10 20:00:00+00:00,55.48,8.58,46.9,84.534967555876,2025,2025-02,2950,estimated,46.9,138355.0,20753.25,159108.25,36.0,4419.673611111111,3423.7
2025-03,ATARES-1 RES,2025-03-16 08:00:00+00:00,56.09,0.0,56.09,100.0,2025,2025-03,2750,estimated,56.09,154247.5,23137.125,177384.625,36.0,4927.350694444444,4094.57
2025-03,ATARES-2 RES,2025-03-16 08:00:00+00:00,66.87,0.0,66.87,100.0,2025,2025-03,2750,estimated,66.87,183892.5,27583.875,211476.375,36.0,5874.34375,4881.51
2025-03,BERGRES RES,2025-03-16 08:00:00+00:00,59.74,1.32,58.42,97.79042517576164,2025,2025-03,2750,estimated,58.42,160655.0,24098.25,184753.25,36.0,5132.034722222223,4264.66
2025-03,DENİZLİ RES,2025-03-31 07:00:00+00:00,58.0,0.0,58.0,100.0,2025,2025-03,2750,estimated,58.0,159500.0,23925.0,183425.0,36.0,5095.138888888889,4234.0
2025-03,EVRENCİK RES,2025-03-16 07:00:00+00:00,80.89,0.0,80.89,100.0,2025,2025-03,2750,estimated,80.89,222447.5,33367.125,255814.625,36.0,7105.961805555556,5904.97
2025-03,EVRENCİK RES,2025-03-16 19:00:00+00:00,97.26,8.68,88.58000000000001,91.0754678182192,2025,2025-03,2750,estimated,88.58000000000001,243595.00000000003,36539.25,280134.25,36.0,7781.506944444444,6466.340000000001
2025-03,GEYVE RES,2025-03-16 08:00:00+00:00,52.7,0.0,52.7,100.0,2025,2025-03,2750,estimated,52.7,144925.0,21738.75,166663.75,36.0,4629.548611111111,3847.1000000000004
2025-03,GÖKTEPE RES,2025-03-16 08:00:00+00:00,76.0,0.0,76.0,100.0,2025,2025-03,2750,estimated,76.0,209000.0,31350.0,240350.0,36.0,6676.388888888889,5548.0
2025-03,GÖKTEPE RES,2025-03-26 05:00:00+00:00,51.0,0.0,51.0,100.0,2025,2025-03,2750,estimated,51.0,140250.0,21037.5,161287.5,36.0,4480.208333333333,3723.0
2025-03,GÜLPINAR RES,2025-03-16 07:00:00+00:00,97.72,0.0,97.72,100.0,2025,2025-03,2750,estimated,97.72,268730.0,40309.5,309039.5,36.0,8584.430555555555,7133.5599999999995
2025-03,GÜLPINAR RES,2025-03-26 13:00:00+00:00,56.53,3.78,52.75,93.3132849814258,2025,2025-03,2750,estimated,52.75,145062.5,21759.375,166821.875,36.0,4633.940972222223,3850.75
2025-03,GÜLPINAR RES,2025-03-27 05:00:00+00:00,118.15,9.04,109.11,92.34870926787984,2025,2025-03,2750,estimated,109.11,300052.5,45007.875,345060.375,36.0,9585.010416666666,7965.03
2025-03,KIYIKÖY RES,2025-03-16 19:00:00+00:00,56.92,6.16,50.760000000000005,89.17779339423754,2025,2025-03,2750,estimated,50.760000000000005,139590.0,20938.5,160528.5,36.0,4459.125,3705.4800000000005
2025-03,KIYIKÖY RES,2025-03-28 07:00:00+00:00,72.98,7.92,65.06,89.14771170183612,2025,2025-03,2750,estimated,65.06,178915.0,26837.25,205752.25,36.0,5715.340277777777,4749.38
2025-03,KOCATEPE RES(İzdem),2025-03-31 07:00:00+00:00,71.59,0.0,71.59,100.0,2025,2025-03,2750,estimated,71.59,196872.5,29530.875,226403.375,36.0,6288.982638888889,5226.070000000001
2025-03,KUŞADASI RES,2025-03-28 00:00:00+00:00,75.18,6.88,68.30000000000001,90.84862995477522,2025,2025-03,2750,estimated,68.30000000000001,187825.00000000003,28173.750000000004,215998.75000000003,36.0,5999.965277777778,4985.900000000001
2025-03,KUŞADASI RES,2025-03-31 07:00:00+00:00,66.03,5.63,60.4,91.47357261850674,2025,2025-03,2750,estimated,60.4,166100.0,24915.0,191015.0,36.0,5305.972222222223,4409.2
2025-03,OVACIK RES,2025-03-31 19:00:00+00:00,50.6,0.0,50.6,100.0,2025,2025-03,2750,estimated,50.6,139150.0,20872.5,160022.5,36.0,4445.069444444444,3693.8
2025-03,SÜLOĞLU RES,2025-03-18 20:00:00+00:00,66.0,0.0,66.0,100.0,2025,2025-03,2750,estimated,66.0,181500.0,27225.0,208725.0,36.0,5797.916666666667,4818.0
2025-03,TATLIPINAR RES,2025-03-16 07:00:00+00:00,111.42,7.24,104.18,93.50206426135344,2025,2025-03,2750,estimated,104.18,286495.0,42974.25,329469.25,36.0,9151.923611111111,7605.14
2025-03,TAŞPINAR RES(GALATA WİND),2025-03-16 08:00:00+00:00,77.19,0.0,77.19,100.0,2025,2025-03,2750,estimated,77.19,212272.5,31840.875,244113.375,36.0,6780.927083333333,5634.87
2025-03,VİZE-2 RES,2025-03-16 19:00:00+00:00,67.41,7.65,59.76,88.65153538050734,2025,2025-03,2750,estimated,59.76,164340.0,24651.0,188991.0,36.0,5249.75,4362.48
2025-03,ZONGULDAK RES,2025-03-16 08:00:00+00:00,74.49,0.63,73.86,99.1542488924688,2025,2025-03,2750,estimated,73.86,203115.0,30467.25,233582.25,36.0,6488.395833333333,5391.78
2025-03,ÖMERLİ RES(BETİM),2025-03-28 12:00:00+00:00,68.23,4.26,63.970000000000006,93.7564121354243,2025,2025-03,2750,estimated,63.970000000000006,175917.50000000003,26387.625000000004,202305.12500000003,36.0,5619.586805555557,4669.81
2025-03,ÜÇPINAR RES,2025-03-16 08:00:00+00:00,87.0,0.0,87.0,100.0,2025,2025-03,2750,estimated,87.0,239250.0,35887.5,275137.5,36.0,7642.708333333333,6351.0
2025-03,İSTANBUL RES,2025-03-16 08:00:00+00:00,108.79,0.0,108.79,100.0,2025,2025-03,2750,estimated,108.79,299172.5,44875.875,344048.375,36.0,9556.899305555555,7941.67
2025-04,ATAKALE RES,2025-04-22 18:00:00+00:00,68.61,0.0,68.61,100.0,2025,2025-04,2600,estimated,68.61,178386.0,26757.899999999998,205143.9,36.0,5698.441666666667,5008.53
2025-04,ATAKALE RES,2025-04-25 15:00:00+00:00,56.96,6.6,50.36,88.4129213483146,2025,2025-04,2600,estimated,50.36,130936.0,19640.399999999998,150576.4,36.0,4182.677777777778,3676.2799999999997
2025-04,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2025-04-23 23:00:00+00:00,64.82,6.69,58.129999999999995,89.67911138537488,2025,2025-04,2600,estimated,58.129999999999995,151138.0,22670.7,173808.7,36.0,4828.019444444445,4243.49
2025-04,BOZÜYÜK RES,2025-04-10 17:00:00+00:00,73.6,0.0,73.6,100.0,2025,2025-04,2600,estimated,73.6,191359.99999999997,28703.999999999996,220063.99999999997,36.0,6112.888888888888,5372.799999999999
2025-04,CERİT RES_(PAKMEM),2025-04-29 10:00:00+00:00,53.05,7.19,45.86,86.44674835061264,2025,2025-04,2600,estimated,45.86,119236.0,17885.399999999998,137121.4,36.0,3808.9277777777775,3347.7799999999997
2025-04,DENİZLİ RES,2025-04-24 10:00:00+00:00,52.0,8.0,44.0,84.61538461538461,2025,2025-04,2600,estimated,44.0,114400.0,17160.0,131560.0,36.0,3654.4444444444443,3212.0
2025-04,EBER RES,2025-04-07 06:00:00+00:00,57.06,0.0,57.06,100.0,2025,2025-04,2600,estimated,57.06,148356.0,22253.399999999998,170609.4,36.0,4739.15,4165.38
2025-04,KIYIKÖY RES,2025-04-02 03:00:00+00:00,54.1,9.74,44.36,81.99630314232903,2025,2025-04,2600,estimated,44.36,115336.0,17300.399999999998,132636.4,36.0,3684.3444444444444,3238.2799999999997
2025-04,KUŞADASI RES,2025-04-30 15:00:00+00:00,58.78,6.25,52.53,89.36713167744131,2025,2025-04,2600,estimated,52.53,136578.0,20486.7,157064.7,36.0,4362.908333333334,3834.69
2025-04,MASLAKTEPE RES(ENİ),2025-03-31 22:00:00+00:00,54.58,2.8,51.78,94.86991572004398,2025,2025-03,2750,estimated,51.78,142395.0,21359.25,163754.25,36.0,4548.729166666667,3779.94
2025-04,MUTLU RES 5,2025-04-20 01:00:00+00:00,73.5,0.0,73.5,100.0,2025,2025-04,2600,estimated,73.5,191100.0,28665.0,219765.0,36.0,6104.583333333333,5365.5
2025-04,YAHYALI RES(BAK),2025-04-22 11:00:00+00:00,51.1,9.5,41.6,81.40900195694715,2025,2025-04,2600,estimated,41.6,108160.0,16224.0,124384.0,36.0,3455.1111111111113,3036.8
