datetime,plant_id,plant_name,gen_mw,prev_gen,drop,year,month_str,ptf_tl_mwh,ptf_fallback,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2024-08-29 16:00:00+00:00,12164,ARDIÇLI RES(ES-YEL),1.66,54.03,52.370000000000005,2024,2024-08,3000.0,2383.24,actual,52.370000000000005,157110.0,23566.5,180676.5,32.5,5559.276923076923,3823.01
2022-02-20 14:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),8.53,60.59,52.06,2022,2022-02,999.97,2347.5,actual,52.06,52058.438200000004,7808.76573,59867.20393,16.5,3628.3153896969698,3800.38
2022-04-18 22:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),3.9,70.75,66.85,2022,2022-04,2400.0,2347.5,actual,66.85,160440.0,24066.0,184506.0,16.5,11182.181818181818,4880.049999999999
2022-06-05 19:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),5.98,82.21,76.22999999999999,2022,2022-06,3097.0,2347.5,actual,76.22999999999999,236084.30999999997,35412.646499999995,271496.9565,16.5,16454.360999999997,5564.789999999999
2022-10-14 18:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),8.92,55.58,46.66,2022,2022-10,4600.01,2347.5,actual,46.66,214636.46659999999,32195.469989999998,246831.93659,16.5,14959.511308484849,3406.18
2023-06-01 19:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),6.18,61.31,55.13,2023,2023-06,2000.0,2183.385,actual,55.13,110260.0,16539.0,126799.0,23.0,5513.0,4024.4900000000002
2024-05-20 20:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),0.33,65.99,65.66,2024,2024-05,1962.0,2383.24,actual,65.66,128824.92,19323.737999999998,148148.658,32.5,4558.420246153846,4793.179999999999
2024-08-05 16:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),0.49,55.01,54.519999999999996,2024,2024-08,3000.0,2383.24,actual,54.519999999999996,163560.0,24534.0,188094.0,32.5,5787.507692307692,3979.9599999999996
2024-08-27 16:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),3.89,50.48,46.589999999999996,2024,2024-08,3000.0,2383.24,actual,46.589999999999996,139770.0,20965.5,160735.5,32.5,4945.707692307692,3401.0699999999997
2024-12-21 20:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),3.45,82.91,79.46,2024,2024-12,2149.99,2383.24,actual,79.46,170838.20539999998,25625.730809999997,196463.93620999999,32.5,6045.044191076922,5800.58
2025-04-23 23:00:00+00:00,12183,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),6.69,64.82,58.129999999999995,2025,2025-04,2950.01,2500.01,actual,58.129999999999995,171484.0813,25722.612194999998,197206.69349499998,36.0,5477.963708194444,4243.49
2024-06-21 03:00:00+00:00,12324,EBER RES,0.0,61.0,61.0,2024,2024-06,1248.0,2383.24,actual,61.0,76128.0,11419.199999999999,87547.2,32.5,2693.7599999999998,4453.0
2024-08-17 03:00:00+00:00,12324,EBER RES,0.0,62.0,62.0,2024,2024-08,2500.0,2383.24,actual,62.0,155000.0,23250.0,178250.0,32.5,5484.615384615385,4526.0
2024-10-22 16:00:00+00:00,12324,EBER RES,0.0,61.72,61.72,2024,2024-10,2899.99,2383.24,actual,61.72,178987.3828,26848.107419999997,205835.49021999998,32.5,6333.399699076923,4505.5599999999995
2024-10-29 06:00:00+00:00,12324,EBER RES,0.0,60.62,60.62,2024,2024-10,1649.98,2383.24,actual,60.62,100021.7876,15003.268139999998,115025.05574,32.5,3539.232484307692,4425.26
