datetime,plant,ws100,ws10
2025-03-17 17:00:00,EVRENCIK,7.509004752318299,6.2242271830847
2025-03-17 18:00:00,EVRENCIK,7.8120388966196845,3.1821975938558853
2025-03-17 19:00:00,EVRENCIK,8.519287265037317,3.181724541445198
2025-03-17 20:00:00,EVRENCIK,6.916839615628546,2.618303110463148
2025-03-17 21:00:00,EVRENCIK,5.064880775203738,1.1461790154159428
2025-03-17 22:00:00,EVRENCIK,3.7893176901503014,0.8162480869188513
2025-03-17 23:00:00,EVRENCIK,7.058821957132846,0.7145217910341022
2025-03-18 00:00:00,EVRENCIK,9.243396633124561,3.6123731641306986
2025-03-14 00:00:00,GULPINAR,18.701218294194014,8.086861309925068
2025-03-14 01:00:00,GULPINAR,18.88887359040128,6.933054145946618
2025-03-14 02:00:00,GULPINAR,17.784029506858335,8.28264182635763
2025-03-14 03:00:00,GULPINAR,16.1310760340855,7.709790500522779
2025-03-14 04:00:00,GULPINAR,14.665822184079383,6.811126367169533
2025-03-14 05:00:00,GULPINAR,13.541351349695804,6.615477788005995
2025-03-14 06:00:00,GULPINAR,12.691065658818145,5.869611569125304
2025-03-14 07:00:00,GULPINAR,11.801467327041122,6.611773336751173
2025-03-14 08:00:00,GULPINAR,10.852834675661088,6.121698849650838
2025-03-14 09:00:00,GULPINAR,9.469751662774012,5.885166769199513
2025-03-14 10:00:00,GULPINAR,9.511165158907364,6.291729530656823
2025-03-14 11:00:00,GULPINAR,9.604780505926303,6.169753818739952
2025-03-14 12:00:00,GULPINAR,9.99991575787217,6.217547025952039
2025-03-14 13:00:00,GULPINAR,11.465724126155274,7.046808792574626
2025-03-14 14:00:00,GULPINAR,13.052659381950859,7.184558230635716
2025-03-14 15:00:00,GULPINAR,14.157323769591954,6.0884001135615256
2025-03-14 16:00:00,GULPINAR,13.938943031407,4.917862888444882
2025-03-14 17:00:00,GULPINAR,13.172621464944044,4.276914654981272
2025-03-14 18:00:00,GULPINAR,12.44292936949092,4.2079804131385155
2025-03-14 19:00:00,GULPINAR,12.020690200176388,4.820520371657238
2025-03-14 20:00:00,GULPINAR,11.933921207096292,5.20615977562331
2025-03-14 21:00:00,GULPINAR,12.405393484230292,5.6897769669604195
2025-03-14 22:00:00,GULPINAR,12.966838646594466,6.130221512665242
2025-03-14 23:00:00,GULPINAR,13.350746835459427,6.8299281085905
2025-03-15 00:00:00,GULPINAR,13.692599579344245,7.730931446860689
2025-03-15 01:00:00,GULPINAR,13.762071677209894,8.06821173253594
2025-03-15 02:00:00,GULPINAR,14.086033686764111,8.440870792335136
2025-03-15 03:00:00,GULPINAR,14.206428668029242,8.447371187850532
2025-03-15 04:00:00,GULPINAR,14.344414788803102,8.529072828548125
2025-03-15 05:00:00,GULPINAR,14.550127844306905,8.583515843464363
2025-03-15 06:00:00,GULPINAR,14.77404667418977,8.399646426967548
2025-03-15 07:00:00,GULPINAR,15.184881101625336,7.940114159701322
2025-03-15 08:00:00,GULPINAR,15.32276068326976,8.096031532878245
2025-03-15 09:00:00,GULPINAR,15.542611683496654,7.905798295562033
2025-03-15 10:00:00,GULPINAR,15.59765589212426,7.702776054279982
2025-03-15 11:00:00,GULPINAR,15.127729122280485,7.7958032286962915
2025-03-15 12:00:00,GULPINAR,15.214572059140027,8.022624130354446
2025-03-15 13:00:00,GULPINAR,15.252665714940335,8.064954844729618
2025-03-15 14:00:00,GULPINAR,15.725315205112212,7.597252661021033
2025-03-15 15:00:00,GULPINAR,16.040460000055173,7.838821038798612
2025-03-15 16:00:00,GULPINAR,15.922388471962176,7.728847054792422
2025-03-15 17:00:00,GULPINAR,15.829446448096196,8.056153350701521
2025-03-15 18:00:00,GULPINAR,15.904274475449828,8.57912865573752
2025-03-15 19:00:00,GULPINAR,16.66644638150089,8.883334515857293
2025-03-15 20:00:00,GULPINAR,17.778058182273064,9.113398335016006
2025-03-15 21:00:00,GULPINAR,18.04646027688559,9.584399056915554
2025-03-15 22:00:00,GULPINAR,18.26362929542804,9.773205602889723
2025-03-15 23:00:00,GULPINAR,18.112346349136814,9.759425772843208
2025-03-16 00:00:00,GULPINAR,18.15434953520536,9.918416390228131
2025-03-16 01:00:00,GULPINAR,18.429837626491427,10.42669541905839
2025-03-16 02:00:00,GULPINAR,18.66005717987727,10.949756746424159
2025-03-16 03:00:00,GULPINAR,19.635059081754832,10.865210760917504
2025-03-16 04:00:00,GULPINAR,20.24314687299716,10.747919984209144
2025-03-16 05:00:00,GULPINAR,20.798850945825865,10.633755919077815
2025-03-16 06:00:00,GULPINAR,20.259780713103005,10.832324987100762
2025-03-16 07:00:00,GULPINAR,20.093665710921517,10.167311487239319
2025-03-16 08:00:00,GULPINAR,18.768477250689713,10.326484713911226
2025-03-16 09:00:00,GULPINAR,17.58003835258692,9.938968061960123
2025-03-16 10:00:00,GULPINAR,16.394383377781203,9.60375325147337
2025-03-16 11:00:00,GULPINAR,15.555072350206947,9.160877947579348
2025-03-16 12:00:00,GULPINAR,14.52783016611123,8.87686737484611
2025-03-16 13:00:00,GULPINAR,13.543428727711548,8.784458202252432
2025-03-16 14:00:00,GULPINAR,13.392034681085283,8.69030135900376
2025-03-16 15:00:00,GULPINAR,13.088932068248702,8.717456348826724
2025-03-16 16:00:00,GULPINAR,12.501897849857544,7.5327576424753095
2025-03-16 17:00:00,GULPINAR,12.120961423734474,7.319009082105576
2025-03-16 18:00:00,GULPINAR,11.204814286017658,5.688413508930884
2025-03-16 19:00:00,GULPINAR,10.139781429377264,4.60474080056917
2025-03-16 20:00:00,GULPINAR,8.785884697561922,4.548669568421236
2025-03-16 21:00:00,GULPINAR,9.176908124547221,4.870089308052705
2025-03-16 22:00:00,GULPINAR,7.947120202000092,5.031919189724487
2025-03-16 23:00:00,GULPINAR,6.1676158877223,5.23779931641624
2025-03-17 00:00:00,GULPINAR,4.872498792103961,5.684044715226605
2025-03-17 01:00:00,GULPINAR,4.382944541933665,5.694212251296024
2025-03-17 02:00:00,GULPINAR,4.640429675668943,5.419248600586851
2025-03-17 03:00:00,GULPINAR,4.872609471408159,5.149550584760525
2025-03-17 04:00:00,GULPINAR,5.261244963441404,4.806941348290135
2025-03-17 05:00:00,GULPINAR,5.730988634183053,4.562477340788254
2025-03-17 06:00:00,GULPINAR,5.634895629291234,3.607076522785805
2025-03-17 07:00:00,GULPINAR,5.629595132514173,3.947765405976971
2025-03-17 08:00:00,GULPINAR,5.73039352209927,4.055823166435161
2025-03-17 09:00:00,GULPINAR,5.8050014788915005,3.990990042891274
2025-03-17 10:00:00,GULPINAR,6.271397084524027,4.136435725400904
2025-03-17 11:00:00,GULPINAR,6.73724665886075,4.3933013528972165
2025-03-17 12:00:00,GULPINAR,7.787192745264639,4.991541804081951
2025-03-17 13:00:00,GULPINAR,8.705379048861918,5.499705469061246
2025-03-17 14:00:00,GULPINAR,9.620005907432983,5.7502386173426885
2025-03-17 15:00:00,GULPINAR,10.15053828703952,5.5622166126614525
2025-03-17 16:00:00,GULPINAR,10.99244264964789,4.02733958559791
2025-03-17 17:00:00,GULPINAR,11.354306527582379,3.0439221236410017
2025-03-17 18:00:00,GULPINAR,11.233401182928544,2.9561565799869123
2025-03-17 19:00:00,GULPINAR,11.012953239658314,3.2003273234528047
2025-03-17 20:00:00,GULPINAR,11.77962421357385,3.24046982457729
2025-03-17 21:00:00,GULPINAR,8.998478276554511,2.9090725254050223
2025-03-17 22:00:00,GULPINAR,7.128034173619753,3.348392666271702
2025-03-17 23:00:00,GULPINAR,8.890845569542824,5.653160272212493
2025-03-18 00:00:00,GULPINAR,12.511961081798894,4.137365272553441
2025-03-14 00:00:00,ISTANBUL,18.73703987651518,5.160339015436062
2025-03-14 01:00:00,ISTANBUL,19.109868342742278,4.280702887460775
2025-03-14 02:00:00,ISTANBUL,18.420518185524802,4.407831155714144
2025-03-14 03:00:00,ISTANBUL,18.648664476462123,3.9123412799628543
2025-03-14 04:00:00,ISTANBUL,18.45629189679516,4.468161306882122
2025-03-14 05:00:00,ISTANBUL,17.76851239724825,4.657055738450867
2025-03-14 06:00:00,ISTANBUL,17.156617926690053,5.230038895262824
2025-03-14 07:00:00,ISTANBUL,17.34380577519959,5.6970669836033885
2025-03-14 08:00:00,ISTANBUL,18.374587562057652,6.8339348592851366
2025-03-14 09:00:00,ISTANBUL,17.465855339059605,7.547960686049597
2025-03-14 10:00:00,ISTANBUL,15.576544429546777,7.555737639015662
2025-03-14 11:00:00,ISTANBUL,14.054224346730823,7.485854924828484
2025-03-14 12:00:00,ISTANBUL,13.762250218056192,7.4833075293414515
